block 0.0: track=1, sector=0
block 0.5: track=1, sector=11
block 1.0: track=1, sector=1
block 1.5: track=1, sector=12
block 2.0: track=1, sector=2
block 2.5: track=1, sector=13
block 3.0: track=1, sector=3
block 3.5: track=1, sector=14
block 4.0: track=1, sector=4
block 4.5: track=1, sector=15
block 5.0: track=1, sector=5
block 5.5: track=1, sector=16
block 6.0: track=1, sector=6
block 6.5: track=1, sector=17
block 7.0: track=1, sector=7
block 7.5: track=1, sector=18
block 8.0: track=1, sector=8
block 8.5: track=1, sector=19
block 9.0: track=1, sector=9
block 9.5: track=1, sector=20
block 10.0: track=1, sector=10
block 10.5: track=2, sector=0
block 11.0: track=2, sector=11
block 11.5: track=2, sector=1
block 12.0: track=2, sector=12
block 12.5: track=2, sector=2
block 13.0: track=2, sector=13
block 13.5: track=2, sector=3
block 14.0: track=2, sector=14
block 14.5: track=2, sector=4
block 15.0: track=2, sector=15
block 15.5: track=2, sector=5
block 16.0: track=2, sector=16
block 16.5: track=2, sector=6
block 17.0: track=2, sector=17
block 17.5: track=2, sector=7
block 18.0: track=2, sector=18
block 18.5: track=2, sector=8
block 19.0: track=2, sector=19
block 19.5: track=2, sector=9
block 20.0: track=2, sector=20
block 20.5: track=2, sector=10
block 21.0: track=3, sector=0
block 21.5: track=3, sector=11
block 22.0: track=3, sector=1
block 22.5: track=3, sector=12
block 23.0: track=3, sector=2
block 23.5: track=3, sector=13
block 24.0: track=3, sector=3
block 24.5: track=3, sector=14
block 25.0: track=3, sector=4
block 25.5: track=3, sector=15
block 26.0: track=3, sector=5
block 26.5: track=3, sector=16
block 27.0: track=3, sector=6
block 27.5: track=3, sector=17
block 28.0: track=3, sector=7
block 28.5: track=3, sector=18
block 29.0: track=3, sector=8
block 29.5: track=3, sector=19
block 30.0: track=3, sector=9
block 30.5: track=3, sector=20
block 31.0: track=3, sector=10
block 31.5: track=4, sector=0
block 32.0: track=4, sector=11
block 32.5: track=4, sector=1
block 33.0: track=4, sector=12
block 33.5: track=4, sector=2
block 34.0: track=4, sector=13
block 34.5: track=4, sector=3
block 35.0: track=4, sector=14
block 35.5: track=4, sector=4
block 36.0: track=4, sector=15
block 36.5: track=4, sector=5
block 37.0: track=4, sector=16
block 37.5: track=4, sector=6
block 38.0: track=4, sector=17
block 38.5: track=4, sector=7
block 39.0: track=4, sector=18
block 39.5: track=4, sector=8
block 40.0: track=4, sector=19
block 40.5: track=4, sector=9
block 41.0: track=4, sector=20
block 41.5: track=4, sector=10
block 42.0: track=5, sector=0
block 42.5: track=5, sector=11
block 43.0: track=5, sector=1
block 43.5: track=5, sector=12
block 44.0: track=5, sector=2
block 44.5: track=5, sector=13
block 45.0: track=5, sector=3
block 45.5: track=5, sector=14
block 46.0: track=5, sector=4
block 46.5: track=5, sector=15
block 47.0: track=5, sector=5
block 47.5: track=5, sector=16
block 48.0: track=5, sector=6
block 48.5: track=5, sector=17
block 49.0: track=5, sector=7
block 49.5: track=5, sector=18
block 50.0: track=5, sector=8
block 50.5: track=5, sector=19
block 51.0: track=5, sector=9
block 51.5: track=5, sector=20
block 52.0: track=5, sector=10
